year,month,day,hour,PM2.5,temperature,pressure,rain,wind_direction,wind_speed
2013,3,2,9,10.0,0.6,1029.7,0.0,NE,1.7
2013,3,2,10,11.0,1.7,1028.9,0.0,W,1.6
2013,3,2,11,18.0,2.2,1028.2,0.0,SSW,3.1
2013,3,2,12,26.0,2.7,1027.3,0.0,WSW,2.7
2013,3,2,13,25.0,3.3,1025.7,0.0,W,1.5
2013,3,2,14,26.0,3.8,1024.8,0.0,SE,1.3
2013,3,2,15,37.0,3.9,1024.1,0.0,WNW,1.2
2013,3,2,16,37.0,3.5,1023.6,0.0,WSW,2.5
2013,3,2,17,44.0,2.2,1023.4,0.0,SSE,0.4
2013,3,2,18,54.0,1.2,1023.2,0.0,W,0.9
2013,3,2,19,61.0,1.5,1022.9,0.0,NE,1.2
2013,3,2,20,67.0,1.2,1022.9,0.0,NNE,1.2
2013,3,2,21,74.0,0.6,1022.6,0.0,NE,1.3
2013,3,2,22,81.0,-0.6,1022.3,0.0,NNE,1.4
2013,3,2,23,93.0,-0.8,1021.1,0.0,N,1.3
2013,3,3,0,112.0,-1.4,1020.4,0.0,NNE,1.2
2013,3,3,1,109.0,-2.0,1019.4,0.0,NE,1.2
2013,3,3,2,110.0,-2.8,1018.3,0.0,NE,1.4
2013,3,3,3,105.0,-2.6,1017.2,0.0,NE,1.2
2013,3,3,4,106.0,-4.3,1016.9,0.0,NNE,0.9
2013,3,3,5,101.0,-5.6,1016.3,0.0,N,0.8
2013,3,3,6,91.0,-5.8,1016.2,0.0,NNE,0.8
2013,3,3,7,79.0,-3.1,1016.5,0.0,NE,1.5
2013,3,3,8,77.0,0.7,1016.2,0.0,NNE,2.3
2013,3,3,9,83.0,3.5,1015.8,0.0,NNE,0.4
2013,3,3,10,94.0,6.5,1014.9,0.0,N,1.3
2013,3,3,11,96.0,11.4,1013.8,0.0,ESE,0.9
2013,3,3,12,91.0,13.8,1012.5,0.0,W,1.1
2013,3,3,13,98.0,16.0,1011.5,0.0,W,5.9
2013,3,3,14,72.0,16.7,1010.8,0.0,WNW,4.3
2013,3,3,15,48.0,16.9,1010.5,0.0,WNW,2.0
2013,3,3,16,28.0,16.4,1010.6,0.0,NW,2.9
2013,3,3,17,26.0,13.1,1011.1,0.0,WSW,1.7
2013,3,3,18,24.0,8.7,1012.3,0.0,NW,1.6
2013,3,3,19,19.0,12.2,1013.4,0.0,NNW,2.0
2013,3,3,20,60.0,11.7,1013.5,0.0,N,0.9
2013,3,3,21,117.0,5.3,1013.6,0.0,N,0.0
2013,3,3,22,54.0,3.1,1014.1,0.0,NNE,1.8
2013,3,3,23,46.0,5.2,1014.8,0.0,NNW,1.7
2013,3,4,0,42.0,7.7,1015.7,0.0,N,2.6
2013,3,4,1,49.0,8.2,1016.7,0.0,N,2.8
2013,3,4,2,34.0,8.1,1016.7,0.0,N,4.3
2013,3,4,3,12.0,7.2,1016.9,0.0,N,2.8
2013,3,4,4,7.0,6.0,1018.0,0.0,NNW,1.0
2013,3,4,5,10.0,2.7,1018.6,0.0,SSE,0.5
2013,3,4,6,13.0,3.8,1018.9,0.0,N,2.3
2013,3,4,7,14.0,6.5,1019.7,0.0,N,2.3
2013,3,4,8,13.0,9.0,1020.7,0.0,NE,3.1
2013,3,4,9,15.0,10.6,1020.8,0.0,NNE,1.3
2013,3,4,10,16.0,11.9,1020.4,0.0,NE,2.1
2013,3,4,11,18.0,13.1,1020.0,0.0,NE,3.0
2013,3,4,12,13.0,14.2,1018.9,0.0,N,2.7
2013,3,4,13,3.0,15.3,1017.8,0.0,S,2.0
2013,3,4,14,3.0,15.2,1017.0,0.0,SW,0.7
2013,3,4,15,10.0,15.3,1016.3,0.0,SSW,2.4
2013,3,4,16,14.0,14.5,1015.7,0.0,S,2.6
2013,3,4,17,20.0,12.7,1015.9,0.0,SW,2.6
2013,3,4,18,25.0,11.6,1016.5,0.0,SSW,3.4
2013,3,4,19,31.0,10.9,1016.6,0.0,SW,3.5
2013,3,4,20,34.0,9.9,1016.9,0.0,SSW,3.1
2013,3,4,21,40.0,8.4,1016.9,0.0,SSW,2.1
2013,3,4,22,51.0,8.6,1016.3,0.0,SSW,2.4
2013,3,4,23,58.0,7.7,1015.7,0.0,SW,2.1
2013,3,5,0,71.0,4.7,1015.2,0.0,SW,1.6
2013,3,5,1,91.0,1.1,1014.7,0.0,SW,0.0
2013,3,5,2,100.0,-0.6,1014.4,0.0,S,0.0
2013,3,5,3,103.0,0.2,1014.0,0.0,NE,1.2
2013,3,5,4,115.0,1.8,1013.7,0.0,NE,1.5
2013,3,5,5,117.0,0.6,1013.9,0.0,N,0.8
2013,3,5,6,104.0,-0.2,1013.4,0.0,NE,1.3
2013,3,5,7,106.0,2.9,1013.4,0.0,NNE,1.3
2013,3,5,8,111.0,5.1,1013.4,0.0,NNE,1.2
2013,3,5,9,114.0,7.7,1012.8,0.0,NNE,1.5
2013,3,5,10,131.0,9.4,1012.0,0.0,NE,1.5
2013,3,5,11,138.0,10.6,1011.1,0.0,NNE,1.4
2013,3,5,12,142.0,11.9,1009.7,0.0,NNW,1.3
2013,3,5,13,163.0,12.6,1008.5,0.0,N,1.0
2013,3,5,14,168.0,13.5,1007.7,0.0,NNE,1.4
2013,3,5,15,165.0,13.8,1007.2,0.0,NE,1.2
2013,3,5,16,166.0,13.2,1007.1,0.0,NE,2.0
2013,3,5,17,190.0,12.1,1007.7,0.0,NNE,1.6
2013,3,5,18,203.0,9.0,1008.2,0.0,NE,1.4
2013,3,5,19,210.0,5.3,1008.5,0.0,ESE,0.0
2013,3,5,20,205.0,3.3,1008.7,0.0,N,0.2
2013,3,5,21,215.0,2.9,1009.0,0.0,NNE,1.2
2013,3,5,22,219.0,5.2,1008.9,0.0,NE,1.1
2013,3,5,23,226.0,4.9,1008.4,0.0,NE,1.4
2013,3,6,0,284.0,4.9,1008.5,0.0,NE,1.2
2013,3,6,1,272.0,4.8,1008.3,0.0,NE,1.5
2013,3,6,2,242.0,4.1,1007.8,0.0,NE,1.9
2013,3,6,3,212.0,4.0,1007.6,0.0,NE,1.9
2013,3,6,4,192.0,3.9,1007.3,0.0,NE,1.4
2013,3,6,5,188.0,4.1,1007.8,0.0,NE,1.6
2013,3,6,6,186.0,4.5,1008.4,0.0,NE,2.0
2013,3,6,7,188.0,5.7,1009.3,0.0,NE,1.7
2013,3,6,8,194.0,6.6,1009.3,0.0,NE,1.7
2013,3,6,9,184.0,7.5,1009.1,0.0,NE,1.7
2013,3,6,10,175.0,8.7,1008.6,0.0,NE,1.5
2013,3,6,11,179.0,10.1,1007.7,0.0,NE,1.4
2013,3,6,12,192.0,11.1,1006.9,0.0,ENE,0.4
2013,3,6,13,201.0,12.6,1005.8,0.0,WSW,1.5
2013,3,6,14,230.0,14.5,1005.5,0.0,SSE,1.6
2013,3,6,15,246.0,14.7,1005.5,0.0,SSW,2.5
2013,3,6,16,248.0,14.2,1005.5,0.0,S,1.4
2013,3,6,17,230.0,11.6,1005.9,0.0,SSW,1.1
2013,3,6,18,239.0,6.8,1006.8,0.0,WSW,0.9
2013,3,6,19,242.0,5.1,1007.6,0.0,WSW,1.2
2013,3,6,20,254.0,4.4,1008.2,0.0,SSW,1.1
2013,3,6,21,266.0,3.8,1007.7,0.0,WSW,1.9
2013,3,6,22,254.0,2.4,1007.3,0.0,WSW,1.2
2013,3,6,23,260.0,2.3,1007.2,0.0,NNE,1.3
2013,3,7,0,250.0,1.5,1007.1,0.0,NNE,0.8
2013,3,7,1,240.0,0.7,1007.1,0.0,SE,1.2
2013,3,7,2,238.0,1.5,1006.9,0.0,NNE,0.6
2013,3,7,3,243.0,0.3,1006.5,0.0,WNW,1.7
2013,3,7,4,246.0,-0.9,1006.4,0.0,N,0.5
2013,3,7,5,275.0,1.6,1006.7,0.0,NNE,1.7
2013,3,7,6,306.0,0.3,1006.6,0.0,SW,0.4
2013,3,7,7,320.0,2.4,1006.8,0.0,NNE,1.5
2013,3,7,8,292.0,8.3,1006.5,0.0,NNE,0.8
2013,3,7,9,251.0,10.1,1006.1,0.0,W,0.6
2013,3,7,10,228.0,12.7,1005.5,0.0,ENE,1.2
2013,3,7,11,217.0,16.5,1003.6,0.0,WSW,1.7
2013,3,7,12,255.0,17.1,1001.6,0.0,SSW,3.7
2013,3,7,13,258.0,17.7,1000.2,0.0,SW,3.1
2013,3,7,14,277.0,18.3,998.6,0.0,SSW,3.6
2013,3,7,15,282.0,18.6,997.6,0.0,SSW,3.3
2013,3,7,16,267.0,17.9,997.2,0.0,SW,1.9
2013,3,7,17,216.0,15.4,997.1,0.0,NNW,1.4
2013,3,7,18,201.0,14.4,997.4,0.0,N,1.9
2013,3,7,19,211.0,13.4,997.9,0.0,NNE,1.5
2013,3,7,20,227.0,11.8,997.7,0.0,NE,1.5
2013,3,7,21,282.0,9.2,997.9,0.0,NNE,1.4
2013,3,7,22,363.0,7.5,998.3,0.0,NE,1.3
2013,3,7,23,376.0,6.6,998.4,0.0,E,0.1
2013,3,8,0,344.0,4.1,998.2,0.0,ESE,0.0
2013,3,8,1,339.0,3.3,998.5,0.0,N,0.9
2013,3,8,2,339.0,2.5,998.2,0.0,SW,0.8
2013,3,8,3,324.0,1.8,997.9,0.0,N,0.0
2013,3,8,4,322.0,1.3,998.5,0.0,W,1.0
2013,3,8,5,315.0,1.4,999.0,0.0,SW,0.8
2013,3,8,6,310.0,1.1,999.7,0.0,WSW,0.8
2013,3,8,7,309.0,5.7,1000.4,0.0,NNE,1.0
2013,3,8,8,310.0,10.9,1000.8,0.0,SE,0.7
2013,3,8,9,326.0,16.9,1001.1,0.0,E,1.0
2013,3,8,10,326.0,19.1,1000.9,0.0,SSW,1.9
2013,3,8,11,219.0,20.5,1000.5,0.0,SSW,4.4
2013,3,8,12,104.0,21.7,999.4,0.0,S,3.0
2013,3,8,13,121.0,22.5,998.2,0.0,S,3.3
2013,3,8,14,184.0,17.4,998.3,0.0,ESE,4.5
2013,3,8,15,330.0,13.9,999.5,0.0,ESE,2.7
2013,3,8,16,172.0,11.9,1000.2,0.0,ESE,2.6
2013,3,8,17,114.0,10.3,999.9,0.0,SE,2.8
2013,3,8,18,82.0,9.3,1000.6,0.0,S,1.4
2013,3,8,19,84.0,8.0,1000.5,0.0,NE,0.8
2013,3,8,20,91.0,7.9,1000.4,0.0,SSW,1.4
2013,3,8,21,81.0,7.2,1000.0,0.0,ENE,1.6
2013,3,8,22,90.0,6.3,999.0,0.0,E,0.9
2013,3,8,23,79.0,5.7,997.7,0.0,SSW,1.0
2013,3,9,0,49.0,3.6,996.1,0.0,W,0.6
2013,3,9,1,89.0,2.1,994.9,0.0,W,1.1
2013,3,9,2,89.0,1.4,994.1,0.0,N,0.0
2013,3,9,3,98.0,1.1,993.0,0.0,NE,1.4
2013,3,9,4,97.0,1.8,992.0,0.0,E,0.0
2013,3,9,5,102.0,3.2,992.0,0.0,NE,1.3
2013,3,9,6,110.0,2.8,992.2,0.0,NE,1.0
2013,3,9,7,108.0,4.6,992.9,0.0,NE,1.8
2013,3,9,8,104.0,8.4,994.1,0.0,E,2.6
2013,3,9,9,113.0,16.3,995.9,0.0,NNW,3.3
2013,3,9,10,145.0,16.7,998.3,0.0,NNW,7.7
2013,3,9,11,69.0,14.3,1001.3,0.0,NNW,7.4
2013,3,9,12,78.0,12.4,1004.3,0.0,NW,7.9
2013,3,9,13,49.0,10.3,1006.5,0.0,NNW,7.2
2013,3,9,14,47.0,10.5,1008.1,0.0,NNW,6.7
2013,3,9,15,28.0,10.2,1009.4,0.0,N,3.9
2013,3,9,16,21.0,10.5,1010.8,0.0,N,4.8
2013,3,9,17,14.0,8.6,1013.0,0.0,NNE,4.8
2013,3,9,18,17.0,7.4,1015.9,0.0,NNE,4.8
2013,3,9,19,15.0,6.4,1018.1,0.0,N,3.5
2013,3,9,20,18.0,5.6,1019.7,0.0,N,4.5
2013,3,9,21,12.0,4.8,1020.3,0.0,N,3.3
2013,3,9,22,11.0,3.8,1021.2,0.0,NNE,1.2
2013,3,9,23,6.0,0.8,1021.3,0.0,SSE,0.6
2013,3,10,0,11.0,-0.5,1020.8,0.0,N,0.0
2013,3,10,1,11.0,-0.2,1021.1,0.0,W,1.0
2013,3,10,2,6.0,-2.1,1020.9,0.0,NNE,0.7
2013,3,10,3,10.0,-2.0,1021.1,0.0,NNW,1.2
2013,3,10,4,18.0,-1.3,1021.9,0.0,NNE,0.0
2013,3,10,5,21.0,-1.8,1022.0,0.0,W,1.7
2013,3,10,6,18.0,-2.0,1022.5,0.0,N,0.0
2013,3,10,7,24.0,3.5,1023.2,0.0,SSW,2.3
2013,3,10,8,31.0,5.3,1023.5,0.0,SW,4.6
2013,3,10,9,26.0,6.8,1023.1,0.0,SSW,5.2
2013,3,10,10,27.0,8.3,1022.4,0.0,SSW,4.6
2013,3,10,11,30.0,9.8,1021.9,0.0,S,2.7
2013,3,10,12,28.0,10.4,1021.0,0.0,SSW,0.4
2013,3,10,13,34.0,11.2,1020.0,0.0,S,2.8
2013,3,10,14,28.0,11.4,1019.0,0.0,SSW,4.0
2013,3,10,15,37.0,11.3,1018.7,0.0,SW,4.5
2013,3,10,16,36.0,10.4,1018.3,0.0,SW,4.1
2013,3,10,17,38.0,9.1,1018.2,0.0,SSW,4.4
2013,3,10,18,44.0,8.2,1018.5,0.0,SSW,2.6
2013,3,10,19,60.0,7.7,1018.8,0.0,SSW,2.3
2013,3,10,20,70.0,7.4,1018.8,0.0,S,3.5
2013,3,10,21,64.0,6.5,1018.9,0.0,SSW,2.7
2013,3,10,22,70.0,5.9,1018.5,0.0,SW,2.4
2013,3,10,23,81.0,3.0,1018.7,0.0,SSW,0.9
2013,3,11,0,90.0,0.3,1018.5,0.0,SW,1.4
2013,3,11,1,95.0,-0.7,1018.0,0.0,SW,0.7
2013,3,11,2,95.0,-1.7,1017.4,0.0,WNW,0.5
2013,3,11,3,96.0,-2.1,1017.2,0.0,N,0.6
2013,3,11,4,97.0,-1.6,1016.9,0.0,NNE,1.1
2013,3,11,5,106.0,-2.3,1016.9,0.0,SE,0.1
2013,3,11,6,114.0,-2.1,1017.0,0.0,NE,0.9
2013,3,11,7,112.0,1.3,1017.4,0.0,NNE,1.9
2013,3,11,8,113.0,3.1,1017.5,0.0,NE,1.8
2013,3,11,9,120.0,4.6,1016.8,0.0,NE,1.8
2013,3,11,10,141.0,6.7,1016.0,0.0,NNE,1.4
2013,3,11,11,140.0,7.6,1015.0,0.0,N,1.3
2013,3,11,12,149.0,9.7,1013.4,0.0,NNW,1.6
2013,3,11,13,150.0,11.3,1012.3,0.0,S,3.5
2013,3,11,14,114.0,11.4,1010.9,0.0,SSE,2.5
2013,3,11,15,106.0,10.7,1010.3,0.0,SSW,2.1
2013,3,11,16,113.0,10.4,1009.5,0.0,SSW,3.4
2013,3,11,17,132.0,9.7,1009.7,0.0,SSW,2.1
2013,3,11,18,149.0,9.7,1009.8,0.0,S,2.0
2013,3,11,19,144.0,9.6,1010.0,0.0,S,1.5
2013,3,11,20,156.0,9.8,1010.4,0.0,SSE,1.3
2013,3,11,21,174.0,9.6,1009.8,0.0,SSW,1.5
2013,3,11,22,152.0,9.3,1009.2,0.0,SSW,1.5
2013,3,11,23,113.0,8.6,1008.0,0.0,SSE,1.1
2013,3,12,0,89.0,6.3,1007.5,0.0,WNW,1.0
2013,3,12,1,106.0,4.8,1006.8,0.0,SSE,0.0
2013,3,12,2,125.0,5.3,1005.8,0.0,ESE,0.2
2013,3,12,3,117.0,6.4,1005.8,0.1,N,2.2
2013,3,12,4,112.0,4.3,1006.3,0.4,E,0.9
2013,3,12,5,140.0,4.7,1006.1,0.1,NNE,1.3
2013,3,12,6,146.0,4.1,1006.2,0.9,W,1.0
2013,3,12,7,115.0,3.5,1006.9,0.9,NW,1.4
2013,3,12,8,120.0,3.1,1006.9,0.4,N,1.5
2013,3,12,9,116.0,3.4,1006.6,0.0,NNE,1.3
2013,3,12,10,123.0,3.7,1006.8,0.0,N,0.9
2013,3,12,11,130.0,4.4,1006.5,0.0,NNE,1.4
2013,3,12,12,132.0,4.8,1006.8,0.0,N,1.5
2013,3,12,13,129.0,5.3,1006.6,0.1,NE,1.8
2013,3,12,14,139.0,5.6,1007.1,0.0,NNE,1.6
2013,3,12,15,135.0,6.4,1007.6,0.0,N,1.5
2013,3,12,16,133.0,6.6,1008.1,0.0,S,0.6
2013,3,12,17,141.0,6.4,1009.4,0.0,E,1.4
2013,3,12,18,124.0,5.8,1011.1,0.0,E,0.4
2013,3,12,19,137.0,3.3,1012.5,0.0,WSW,0.5
2013,3,12,20,160.0,2.9,1014.1,0.0,N,0.7
2013,3,12,21,140.0,3.6,1015.5,0.0,NNE,0.8
2013,3,12,22,88.0,1.9,1016.7,0.0,N,1.2
2013,3,12,23,50.0,3.8,1017.7,0.0,NNE,0.9
2013,3,13,0,22.0,3.4,1018.5,0.0,NNW,0.9
2013,3,13,1,10.0,2.7,1018.9,0.0,NNE,2.1
2013,3,13,2,10.0,2.8,1019.3,0.0,N,2.4
2013,3,13,3,7.0,2.4,1019.7,0.0,N,1.3
2013,3,13,4,11.0,0.3,1020.5,0.0,NW,0.9
2013,3,13,5,3.0,-0.9,1021.0,0.0,NNE,0.9
2013,3,13,6,3.0,0.8,1022.2,0.0,NNE,1.6
2013,3,13,7,3.0,3.7,1023.3,0.0,NNE,2.9
2013,3,13,8,8.0,4.8,1024.6,0.0,NNE,3.3
2013,3,13,9,20.0,5.5,1025.2,0.0,ENE,3.9
2013,3,13,10,16.0,6.4,1025.2,0.0,ENE,2.6
2013,3,13,11,14.0,6.6,1024.4,0.0,NE,3.6
2013,3,13,12,12.0,7.6,1023.7,0.0,ENE,3.5
2013,3,13,13,17.0,8.5,1022.9,0.0,E,2.3
2013,3,13,14,15.0,9.5,1022.2,0.0,NE,1.6
2013,3,13,15,3.0,9.7,1021.7,0.0,SW,2.0
2013,3,13,16,3.0,9.1,1021.9,0.0,S,1.8
2013,3,13,17,3.0,7.1,1022.3,0.0,SSW,2.7
2013,3,13,18,23.0,6.1,1022.8,0.0,SSW,2.5
2013,3,13,19,31.0,5.5,1023.5,0.0,S,1.5
2013,3,13,20,37.0,5.0,1023.7,0.0,SSW,2.9
2013,3,13,21,35.0,4.8,1024.0,0.0,SSW,3.2
2013,3,13,22,37.0,4.0,1023.8,0.0,SSW,3.2
2013,3,13,23,42.0,2.9,1024.1,0.0,S,2.3
2013,3,14,0,62.0,2.5,1024.2,0.0,SSW,2.4
2013,3,14,1,71.0,1.6,1024.5,0.0,SSW,1.0
2013,3,14,2,60.0,1.3,1023.9,0.0,SSW,1.5
2013,3,14,3,65.0,-0.1,1023.8,0.0,WNW,0.5
2013,3,14,4,49.0,-0.5,1023.9,0.0,NE,2.4
2013,3,14,5,72.0,-0.8,1024.3,0.0,NNE,1.9
2013,3,14,6,73.0,-0.8,1024.3,0.0,NNE,2.2
2013,3,14,7,69.0,-0.4,1024.6,0.0,NE,2.1
2013,3,14,8,72.0,0.5,1024.9,0.0,NW,2.3
2013,3,14,9,84.0,2.2,1024.3,0.0,NW,1.5
2013,3,14,10,101.0,3.9,1023.4,0.0,WSW,1.7
2013,3,14,11,111.0,5.5,1022.3,0.0,S,1.2
2013,3,14,12,97.0,7.2,1021.3,0.0,SW,3.4
2013,3,14,13,104.0,8.7,1020.0,0.0,S,3.3
2013,3,14,14,108.0,9.9,1019.4,0.0,SSW,3.8
2013,3,14,15,105.0,9.3,1018.7,0.0,S,3.2
2013,3,14,16,105.0,8.6,1018.1,0.0,SSW,3.1
2013,3,14,17,106.0,7.6,1018.3,0.0,SSW,3.5
2013,3,14,18,115.0,6.8,1018.4,0.0,SSW,1.6
2013,3,14,19,119.0,6.2,1018.4,0.0,S,1.3
2013,3,14,20,115.0,5.9,1018.3,0.0,SSW,1.3
2013,3,14,21,119.0,3.5,1018.4,0.0,WNW,0.6
2013,3,14,22,140.0,1.4,1018.2,0.0,SE,0.0
2013,3,14,23,162.0,1.6,1017.7,0.0,ENE,1.1
2013,3,15,0,165.0,2.3,1017.8,0.0,NE,1.2
2013,3,15,1,180.0,2.4,1017.4,0.0,NE,1.8
2013,3,15,2,183.0,2.0,1016.6,0.0,NE,1.1
2013,3,15,3,182.0,1.5,1016.3,0.0,NE,1.6
2013,3,15,4,173.0,1.0,1016.2,0.0,NE,0.8
2013,3,15,5,166.0,0.7,1016.1,0.0,NE,1.2
2013,3,15,6,163.0,0.6,1016.0,0.0,NE,1.2
2013,3,15,7,137.0,2.4,1016.3,0.0,NNE,1.0
2013,3,15,8,164.0,4.2,1016.5,0.0,NE,1.4
2013,3,15,9,172.0,6.4,1015.9,0.0,NNE,1.4
2013,3,15,10,173.0,8.1,1015.1,0.0,SE,1.6
2013,3,15,11,3.0,9.0,1014.2,0.0,NNW,1.4
2013,3,15,12,110.0,10.3,1013.2,0.0,WSW,1.6
2013,3,15,13,227.0,12.0,1011.9,0.0,SE,1.5
2013,3,15,14,236.0,12.2,1011.4,0.0,SSW,2.7
2013,3,15,15,256.0,12.3,1010.9,0.0,S,2.0
2013,3,15,16,287.0,11.5,1010.9,0.0,SW,3.4
2013,3,15,17,278.0,10.6,1011.6,0.0,SW,1.8
2013,3,15,18,269.0,9.1,1012.2,0.0,WSW,1.0
2013,3,15,19,286.0,7.0,1012.5,0.0,SSW,1.1
2013,3,15,20,304.0,6.3,1013.8,0.0,ESE,0.0
2013,3,15,21,312.0,7.1,1014.4,0.0,NNW,0.8
2013,3,15,22,316.0,7.3,1015.3,0.0,NNE,1.0
2013,3,15,23,353.0,7.3,1015.5,0.0,NNE,1.5
2013,3,16,0,355.0,6.5,1015.6,0.0,NE,1.1
2013,3,16,1,328.0,5.9,1015.9,0.0,NE,1.7
2013,3,16,2,308.0,5.9,1016.5,0.0,NE,1.5
2013,3,16,3,304.0,5.6,1017.0,0.0,WNW,1.0
2013,3,16,4,314.0,3.9,1018.0,0.0,NNE,1.3
2013,3,16,5,276.0,5.3,1018.7,0.0,N,1.6
2013,3,16,6,276.0,4.8,1019.3,0.0,NE,1.3
2013,3,16,7,275.0,6.0,1020.1,0.0,N,0.2
2013,3,16,8,278.0,8.4,1020.7,0.0,W,1.1
2013,3,16,9,272.0,10.7,1020.9,0.0,WSW,1.3
2013,3,16,10,264.0,12.6,1020.2,0.0,SW,2.8
2013,3,16,11,270.0,13.5,1019.9,0.0,S,1.8
2013,3,16,12,227.0,14.0,1018.5,0.0,SE,2.2
2013,3,16,13,183.0,14.1,1017.5,0.0,SSW,2.5
2013,3,16,14,166.0,14.5,1016.6,0.0,S,2.1
2013,3,16,15,150.0,13.6,1015.6,0.0,S,2.0
2013,3,16,16,165.0,12.9,1015.1,0.0,S,1.9
2013,3,16,17,185.0,12.4,1014.8,0.0,S,2.1
2013,3,16,18,216.0,12.0,1014.2,0.0,SSE,2.4
2013,3,16,19,188.0,10.8,1014.7,0.0,S,1.2
2013,3,16,20,197.0,10.0,1014.6,0.0,S,1.6
2013,3,16,21,228.0,9.2,1014.1,0.0,SSW,2.7
2013,3,16,22,242.0,8.3,1013.4,0.0,SSW,1.8
2013,3,16,23,210.0,7.8,1012.6,0.0,S,1.5
2013,3,17,0,166.0,7.2,1012.2,0.0,SSW,1.5
2013,3,17,1,162.0,6.5,1011.2,0.0,WSW,1.3
2013,3,17,2,176.0,5.6,1009.8,0.0,WSW,1.0
2013,3,17,3,217.0,6.8,1008.8,0.0,WSW,1.4
2013,3,17,4,183.0,5.9,1007.9,0.0,W,0.6
2013,3,17,5,180.0,5.3,1007.5,0.0,WNW,0.7
2013,3,17,6,184.0,4.2,1006.0,0.0,WSW,0.6
2013,3,17,7,206.0,5.6,1005.8,0.0,NNE,0.6
2013,3,17,8,206.0,7.6,1005.3,0.0,WSW,0.6
2013,3,17,9,257.0,9.3,1004.7,0.0,WSW,0.7
2013,3,17,10,267.0,10.6,1003.6,0.0,SW,0.8
2013,3,17,11,293.0,12.9,1001.9,0.0,E,1.4
2013,3,17,12,322.0,14.4,1000.1,0.0,SSW,1.2
2013,3,17,13,294.0,15.1,998.7,0.0,S,2.1
2013,3,17,14,332.0,15.9,997.5,0.0,S,1.5
2013,3,17,15,352.0,15.5,996.6,0.0,S,1.8
2013,3,17,16,362.0,15.3,996.2,0.0,SW,0.9
2013,3,17,17,356.0,14.1,996.1,0.0,SSW,0.9
2013,3,17,18,344.0,12.0,996.1,0.0,N,0.9
2013,3,17,19,357.0,9.3,996.1,0.0,NE,0.0
2013,3,17,20,364.0,11.5,996.3,0.0,NNE,1.7
2013,3,17,21,392.0,10.9,996.2,0.0,NE,1.9
2013,3,17,22,423.0,10.0,995.9,0.0,NNE,1.5
2013,3,17,23,434.0,8.7,996.0,0.0,NE,1.9
2013,3,18,0,450.0,9.0,995.9,0.0,N,1.8
2013,3,18,1,463.0,8.8,996.3,0.0,NNW,1.1
2013,3,18,2,308.0,10.9,996.2,0.0,NNE,2.3
2013,3,18,3,36.0,11.4,996.4,0.0,NNW,4.7
2013,3,18,4,30.0,10.5,997.1,0.0,N,3.6
2013,3,18,5,20.0,8.6,999.8,0.0,NNE,4.4
2013,3,18,6,14.0,7.0,1001.4,0.0,NNE,3.4
2013,3,18,7,13.0,6.2,1002.4,0.0,NE,6.5
2013,3,18,8,3.0,6.5,1003.2,0.0,NNE,4.8
2013,3,18,9,3.0,8.7,1003.5,0.0,NNW,6.2
2013,3,18,10,13.0,9.4,1004.7,0.0,NE,3.8
